mmT-miR__KEY,d1338_1_counts,d1338_2_counts,d1338_3_counts,d997_1_counts,d997_2_counts,d997_3_counts,mf1_counts,mf2_counts,mf3_counts,wt1_counts,wt2_counts,wt3_counts
mmT-let-7a-5p,6,89,15,10,13,26,46526,195992,70583,67675,83293,20127
mmT-let-7b-5p,7,46,4,11,7,12,2116,9128,3428,2509,3304,760
mmT-let-7c-5p,8,93,13,11,8,22,12758,56892,19568,14486,19403,4704
mmT-let-7d-5p,1,17,2,4,5,2,8550,37010,13799,10500,13791,3307
mmT-let-7f-5p,47,349,55,54,47,86,286610,1395484,403825,386548,474579,126886
mmT-let-7g-5p,63,505,126,135,155,230,111267,541598,184448,167837,198214,55758
mmT-let-7i-5p,202,1354,278,428,439,741,258394,1155854,350016,555746,713445,195601
mmT-miR-100-5p,6,27,4,4,3,10,137,603,181,76,106,21
mmT-miR-101a-3p,1,9,4,zero,1,zero,4179,27500,6166,4102,3021,1036
mmT-miR-101b-3p,3,10,5,2,1,zero,209,1088,327,188,141,62
mmT-miR-103-3p,2,10,2,7,4,8,8709,54721,19744,6047,8253,2168
mmT-miR-107-3p,2,15,1,1,7,5,341,1711,725,246,259,78
mmT-miR-10a-5p,49,255,60,47,61,77,110443,607106,153492,83564,111350,30042
mmT-miR-1198-5p,1,1,zero,zero,1,2,785,3573,1128,779,1047,256
mmT-miR-125a-5p,4,14,2,4,3,2,5165,25489,8830,2645,3944,985
mmT-miR-125b-5p,3,9,1,1,1,1,1612,8260,2908,627,836,217
mmT-miR-1291,32,231,18,12,10,26,67,428,135,98,79,20
mmT-miR-132-5p,1,zero,zero,zero,zero,3,34,149,66,112,150,30
mmT-miR-139-5p,3,18,4,4,1,2,1640,8634,2525,1043,1147,268
mmT-miR-140-3p,6,38,4,8,12,16,9108,60989,16987,6446,5515,1516
mmT-miR-140-5p,2,5,zero,1,2,1,843,4103,1616,907,1135,300
mmT-miR-142a-3p,2,2,1,zero,1,1,1703,8493,3475,2820,2317,739
mmT-miR-146a-5p,28,173,22,99,76,149,26774,145651,53726,47929,69038,20960
mmT-miR-146b-5p,43,333,48,140,118,207,15814,78693,26144,21953,24700,7265
mmT-miR-147-3p,1,3,zero,1,3,1,2996,15712,5155,3624,3741,1163
mmT-miR-148a-3p,29,271,53,38,27,23,54794,311538,72197,63094,74250,22174
mmT-miR-148b-3p,13,104,15,21,11,23,11112,68187,17758,12335,13139,4149
mmT-miR-150-5p,1,2,zero,zero,zero,1,3831,24180,6685,591,3566,671
mmT-miR-151-3p,4,21,4,2,2,2,2492,12878,3180,1606,1837,458
mmT-miR-152-3p,5,22,5,2,4,5,541,3536,1247,615,783,233
mmT-miR-152-5p,1,1,zero,zero,zero,zero,69,471,129,44,40,18
mmT-miR-155-5p,6,60,4,49,32,77,10252,54487,17995,29898,35764,10064
mmT-miR-15b-3p,1,1,zero,zero,zero,zero,54,515,129,84,76,25
mmT-miR-16-5p,5,25,6,8,2,7,2076,13080,4870,3954,4169,1155
mmT-miR-17-5p,2,3,zero,zero,zero,zero,336,2168,982,350,504,125
mmT-miR-181a-1-3p,1,1,1,zero,1,zero,151,930,253,128,134,27
mmT-miR-181a-5p,6,50,8,7,10,14,6060,31373,11520,5034,5717,1448
mmT-miR-182-5p,47,380,72,373,284,541,945,6883,1630,1736,1832,465
mmT-miR-1839-5p,5,40,8,6,3,8,2742,17559,4855,1679,3182,923
mmT-miR-185-5p,2,19,2,2,2,11,3251,18039,5954,2835,3579,949
mmT-miR-186-5p,2,19,4,6,3,7,2243,11720,4533,2621,2727,709
mmT-miR-191-5p,7,36,4,14,4,16,21110,115662,40770,12371,19146,4735
mmT-miR-192-5p,3,21,7,3,zero,1,4673,29649,7662,3534,3517,988
