Delq1338_wt;Del997_wt;wt_mf;del1338_mf;del997_mf
mmu-miR-147-3p;mmu-miR-669o-3p;mmu-miR-1191b-5p;mmu-miR-702-3p;mmu-let-7a-1-3p
mmu-miR-134-5p;mmu-miR-210-5p;mmu-miR-1668;mmu-miR-411-5p;mmu-miR-1964-3p
mmu-miR-96-5p;mmu-miR-32-5p;mmu-miR-1306-5p;mmu-miR-6972-3p;mmu-miR-328-3p
mmu-miR-147-5p;mmu-miR-467d-3p;mmu-miR-8103;mmu-miR-342-3p;mmu-miR-1949
mmu-miR-370-3p;mmu-miR-1949;mmu-miR-455-5p;mmu-miR-379-5p;mmu-miR-532-3p
mmu-miR-541-5p;mmu-let-7c-2-3p;mmu-miR-15a-3p;mmu-miR-486b-5p;mmu-miR-451a
mmu-miR-300-3p;mmu-let-7a-1-3p;mmu-miR-486b-3p;mmu-miR-210-5p;mmu-miR-33-5p
mmu-miR-409-3p;mmu-miR-130b-5p;mmu-miR-224-5p;mmu-miR-486a-5p;mmu-miR-615-3p
mmu-miR-183-5p;;mmu-miR-615-3p;mmu-miR-671-5p;mmu-miR-5107-3p
mmu-miR-379-5p;;mmu-miR-486a-3p;mmu-miR-434-5p;mmu-miR-210-5p
mmu-miR-182-5p;;mmu-miR-5100;mmu-miR-409-3p;mmu-miR-1249-3p
mmu-miR-434-5p;;mmu-miR-486a-5p;mmu-miR-300-3p;mmu-miR-92b-3p
mmu-miR-466i-3p;;mmu-miR-486b-5p;mmu-miR-5100;mmu-miR-8114
;;mmu-miR-451a;mmu-miR-409-5p;mmu-miR-130b-5p
;;mmu-miR-144-5p;mmu-miR-224-5p;mmu-miR-486b-5p
;;mmu-miR-144-3p;mmu-miR-7047-3p;mmu-miR-486a-5p
;;;mmu-miR-7012-5p;mmu-miR-702-3p
;;;mmu-miR-466i-3p;mmu-miR-5100
;;;mmu-miR-466g;mmu-miR-6972-3p
;;;mmu-miR-299a-3p;mmu-miR-486b-3p
;;;mmu-miR-329-3p;mmu-miR-1306-5p
;;;mmu-miR-433-3p;mmu-miR-486a-3p
;;;;mmu-miR-144-3p
;;;;mmu-miR-144-5p
