Del1338_WT	log2FoldChange
mmu-miR-144-3p	6,585758197
mmu-miR-144-5p	6,567277871
mmu-miR-451a	5,664989145
mmu-let-7c-1-3p	4,44277703
mmu-miR-486b-5p	3,760221867
mmu-miR-486a-5p	3,715850782
mmu-miR-455-5p	2,463007463
mmu-miR-486a-3p	2,296534262
mmu-miR-99a-5p	2,0874122
mmu-miR-147-3p	-2,017542974
mmu-miR-134-5p	-2,050474598
mmu-miR-96-5p	-2,085680626
mmu-miR-147-5p	-2,113028798
mmu-miR-370-3p	-2,234906556
mmu-miR-541-5p	-2,271472611
mmu-miR-300-3p	-2,282866952
mmu-miR-409-3p	-2,307094567
mmu-miR-183-5p	-2,471729197
mmu-miR-379-5p	-2,522646113
mmu-miR-182-5p	-2,557375887
mmu-miR-434-5p	-2,646616862
mmu-miR-466i-3p	-2,863306243
